"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2026","1,158.00","1,150.75","1,161.75","1,150.75","","1.11%"
"04/12/2026","1,145.25","1,159.00","1,159.00","1,145.25","","-0.95%"
"04/05/2026","1,156.25","1,193.50","1,193.50","1,156.25","0.08K","-3.00%"
"03/29/2026","1,192.00","1,137.50","1,192.00","1,137.50","0.40K","5.07%"
"03/22/2026","1,134.50","1,142.25","1,142.25","1,131.00","","-0.68%"
"03/15/2026","1,142.25","1,148.50","1,148.50","1,136.75","","0.35%"
"03/08/2026","1,138.25","1,131.25","1,138.25","1,113.75","","3.57%"
"03/01/2026","1,099.00","1,061.75","1,099.00","1,060.75","0.36K","4.99%"
"02/22/2026","1,046.75","1,049.75","1,049.75","1,046.25","","-0.19%"
"02/15/2026","1,048.75","1,041.50","1,050.50","1,041.50","","0.38%"
"02/08/2026","1,044.75","1,060.75","1,060.75","1,043.50","","-0.92%"
"02/01/2026","1,054.50","1,074.00","1,076.00","1,054.50","","3.28%"
"01/25/2026","1,021.00","1,017.00","1,022.25","1,017.00","","0.96%"
"01/18/2026","1,011.25","1,001.00","1,011.25","1,001.00","","1.35%"
"01/11/2026","997.75","1,002.50","1,002.50","988.50","0.16K","0.43%"
"01/04/2026","993.50","988.25","995.75","984.75","0.34K","0.89%"
"12/28/2025","984.75","990.00","990.50","984.75","","-0.73%"
"12/21/2025","992.00","984.00","992.00","984.00","0.02K","1.51%"
"12/14/2025","977.25","987.50","987.50","977.25","","-1.14%"
"12/07/2025","988.50","999.75","999.75","988.50","","-2.06%"
"11/30/2025","1,009.25","992.00","1,009.25","992.00","1.00K","1.89%"
"11/23/2025","990.50","990.00","990.50","987.50","","-0.03%"
"11/16/2025","990.75","995.75","1,002.75","990.75","","-0.58%"
"11/09/2025","996.50","989.50","998.25","989.50","0.52K","0.94%"
"11/02/2025","987.25","982.75","993.50","982.75","","-6.18%"
"10/26/2025","1,052.25","1,056.25","1,056.25","1,052.25","","-0.59%"
"10/19/2025","1,058.50","1,065.50","1,065.50","1,058.50","","-0.66%"
"10/12/2025","1,065.50","1,067.50","1,067.50","1,063.00","","-0.81%"
"10/05/2025","1,074.25","1,054.75","1,083.25","1,054.75","","1.78%"
"09/28/2025","1,055.50","1,051.75","1,058.25","1,044.50","","0.36%"
"09/21/2025","1,051.75","1,056.00","1,056.00","1,049.25","","-0.28%"
"09/14/2025","1,054.75","1,059.00","1,062.50","1,054.75","","-0.40%"
"09/07/2025","1,059.00","1,065.75","1,066.75","1,054.50","0.08K","0.28%"
"08/31/2025","1,056.00","1,061.25","1,061.25","1,054.50","0.92K","1.42%"
"08/24/2025","1,041.25","1,044.25","1,044.25","1,041.25","","-0.34%"
"08/17/2025","1,044.75","1,049.50","1,049.50","1,040.50","","0.02%"
"08/10/2025","1,044.50","1,027.25","1,044.50","1,027.25","","3.83%"
