"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2026","60.703","59.910","60.788","59.705","","1.74%"
"04/12/2026","59.666","59.923","60.478","59.389","","-0.45%"
"04/05/2026","59.938","60.194","60.599","59.316","","-0.48%"
"03/29/2026","60.226","60.645","60.860","60.063","","-0.50%"
"03/22/2026","60.531","60.112","60.613","59.248","","1.15%"
"03/15/2026","59.842","59.745","60.363","59.482","","0.12%"
"03/08/2026","59.771","59.016","59.889","58.784","","1.19%"
"03/01/2026","59.068","57.686","59.309","57.667","","2.39%"
"02/22/2026","57.690","58.042","58.180","57.442","","-0.68%"
"02/15/2026","58.085","57.896","58.189","57.792","","0.20%"
"02/08/2026","57.969","58.542","58.603","57.781","","-1.02%"
"02/01/2026","58.569","58.909","59.187","58.419","","-0.56%"
"01/25/2026","58.900","59.122","59.197","58.676","","-0.24%"
"01/18/2026","59.042","59.345","59.525","58.901","","-0.58%"
"01/11/2026","59.385","59.165","59.560","59.162","","0.26%"
"01/04/2026","59.231","58.838","59.373","58.805","","0.67%"
"12/28/2025","58.838","58.767","58.987","58.736","","0.14%"
"12/21/2025","58.755","58.660","58.888","58.561","","0.19%"
"12/14/2025","58.646","59.106","59.134","58.494","","-0.75%"
"12/07/2025","59.087","59.005","59.387","58.908","","0.25%"
"11/30/2025","58.940","58.633","59.213","58.334","","0.52%"
"11/23/2025","58.633","58.807","59.008","58.588","","-0.22%"
"11/16/2025","58.761","59.050","59.256","58.698","","-0.53%"
"11/09/2025","59.075","59.050","59.214","58.740","","0.20%"
"11/02/2025","58.959","58.797","59.177","58.519","","0.38%"
"10/26/2025","58.734","58.713","59.277","58.470","","-0.08%"
"10/19/2025","58.783","58.161","58.783","58.068","","1.08%"
"10/12/2025","58.156","58.279","58.357","57.961","","-0.22%"
"10/05/2025","58.282","57.911","58.519","57.799","","0.60%"
"09/28/2025","57.936","58.158","58.437","57.835","","-0.37%"
"09/21/2025","58.153","57.041","58.417","56.860","","2.07%"
"09/14/2025","56.971","57.169","57.430","56.695","","-0.28%"
"09/07/2025","57.132","56.668","57.272","56.501","","0.77%"
"08/31/2025","56.695","57.164","57.504","56.567","","-0.79%"
"08/24/2025","57.146","56.600","57.284","56.557","","1.22%"
"08/17/2025","56.457","57.006","57.304","56.414","","-1.06%"
"08/10/2025","57.064","56.970","57.230","56.564","","0.34%"
"08/03/2025","56.870","57.736","57.804","56.741","","-1.47%"
"07/27/2025","57.720","57.141","58.582","57.002","","0.98%"
"07/20/2025","57.158","57.158","57.243","56.592","","0.26%"
"07/13/2025","57.010","56.496","57.334","56.454","","0.88%"
"07/06/2025","56.515","56.447","56.775","56.365","","0.14%"
"06/29/2025","56.434","56.549","56.658","56.156","","-0.25%"
"06/22/2025","56.577","57.161","57.646","56.485","","-1.07%"
"06/15/2025","57.187","56.221","57.457","56.153","","1.67%"
"06/08/2025","56.250","55.701","56.293","55.649","","0.73%"
"06/01/2025","55.843","55.810","55.923","55.503","","0.02%"
"05/25/2025","55.831","55.220","55.885","55.127","","0.76%"
"05/18/2025","55.408","55.808","55.879","55.244","","-0.72%"
"05/11/2025","55.809","55.469","55.939","55.323","","0.79%"
"05/04/2025","55.369","55.593","55.887","55.275","","-0.52%"
"04/27/2025","55.661","56.273","56.440","55.471","","-0.94%"
"04/20/2025","56.190","56.760","56.771","56.149","","-0.95%"
"04/13/2025","56.730","57.093","57.129","56.530","","-0.89%"
"04/06/2025","57.242","57.341","57.609","56.908","","-0.28%"
"03/30/2025","57.400","57.370","57.470","56.761","","0.07%"
"03/23/2025","57.360","57.297","57.783","57.277","","0.06%"
"03/16/2025","57.324","57.268","57.384","57.116","","0.13%"
"03/09/2025","57.250","57.350","57.543","57.140","","-0.36%"
"03/02/2025","57.457","57.961","57.988","56.601","","-0.85%"
"02/23/2025","57.952","57.930","58.029","57.778","","0.14%"
"02/16/2025","57.872","57.700","58.286","57.700","","0.25%"
"02/09/2025","57.728","58.060","58.342","57.662","","-0.66%"
"02/02/2025","58.110","58.456","58.715","57.757","","-0.52%"
"01/26/2025","58.411","58.290","58.575","58.265","","0.19%"
"01/19/2025","58.300","58.560","58.785","57.977","","-0.25%"
"01/12/2025","58.444","58.652","58.862","58.349","","-0.34%"
"01/05/2025","58.642","58.110","58.719","57.872","","0.99%"
"12/29/2024","58.067","57.910","58.204","57.764","","0.27%"
"12/22/2024","57.908","58.810","58.810","57.740","","-1.42%"
"12/15/2024","58.744","58.600","59.175","58.585","","0.14%"
"12/08/2024","58.661","57.920","59.034","57.910","","1.42%"
"12/01/2024","57.840","58.610","58.810","57.700","","-1.33%"
"11/24/2024","58.620","58.830","59.090","58.495","","-0.58%"
"11/17/2024","58.960","58.640","59.110","58.603","","0.39%"
"11/10/2024","58.730","58.375","59.088","58.375","","0.46%"
"11/03/2024","58.460","58.460","58.910","58.160","","0.00%"
"10/27/2024","58.461","58.365","58.566","58.110","","-0.16%"
"10/20/2024","58.555","57.490","58.565","57.275","","1.87%"
"10/13/2024","57.480","57.160","57.915","57.160","","0.45%"
"10/06/2024","57.220","56.330","57.586","56.330","","1.63%"
"09/29/2024","56.300","55.930","56.450","55.930","","0.57%"
"09/22/2024","55.980","55.660","56.320","55.610","","0.59%"
"09/15/2024","55.650","55.950","55.975","55.410","","-0.62%"
"09/08/2024","56.000","56.190","56.595","55.793","","-0.31%"
"09/01/2024","56.175","56.210","56.725","55.832","","-0.08%"
"08/25/2024","56.221","55.970","56.330","55.950","","-0.32%"
"08/18/2024","56.400","57.094","57.094","56.250","","-1.19%"
"08/11/2024","57.080","57.257","57.415","56.742","","-0.31%"
"08/04/2024","57.260","57.960","58.030","57.190","","-1.16%"
"07/28/2024","57.930","58.450","58.716","57.736","","-0.72%"
"07/21/2024","58.348","58.335","58.590","58.310","","0.00%"
"07/14/2024","58.350","58.410","58.580","58.155","","-0.09%"
"07/07/2024","58.401","58.530","58.630","58.135","","-0.21%"
"06/30/2024","58.526","58.560","58.840","58.470","","0.08%"
"06/23/2024","58.480","58.870","58.959","58.460","","-0.65%"
"06/16/2024","58.860","58.660","58.910","58.576","","0.29%"
"06/09/2024","58.690","58.760","58.830","58.490","","0.00%"
"06/02/2024","58.690","58.560","58.810","58.415","","0.20%"
"05/26/2024","58.575","58.110","58.730","57.910","","0.68%"
"05/19/2024","58.180","57.630","58.290","57.615","","0.87%"
"05/12/2024","57.680","57.640","57.900","57.235","","0.40%"
"05/05/2024","57.450","57.250","57.460","57.110","","0.56%"
"04/28/2024","57.130","57.800","57.847","57.063","","-0.99%"
"04/21/2024","57.700","57.590","57.975","57.320","","0.39%"
"04/14/2024","57.476","56.560","57.664","56.560","","1.55%"
"04/07/2024","56.600","56.640","56.674","56.368","","0.18%"
"03/31/2024","56.500","56.210","56.680","56.110","","0.61%"
"03/24/2024","56.160","56.390","56.435","56.118","","-0.30%"
"03/17/2024","56.330","55.640","56.372","55.510","","1.44%"
"03/10/2024","55.530","55.590","55.595","55.257","","-0.07%"
"03/03/2024","55.570","56.110","56.110","55.580","","-0.94%"
"02/25/2024","56.100","55.930","56.280","55.910","","0.38%"
"02/18/2024","55.890","55.910","56.130","55.660","","-0.11%"
"02/11/2024","55.950","55.890","56.330","55.890","","0.11%"
"02/04/2024","55.890","56.010","56.415","55.862","","-0.04%"
"01/28/2024","55.910","56.320","56.540","55.810","","-0.72%"
